id,name
54329,Followmont Transport
54344,Hunter Express.
54358,Mainfreight
54359,Startrack
54381,Allied Express
54396,Startrack - Auth To Leave
54397,TNT
54405,Startrack__
54410,All Australian Logistics
54425,Couriers Please
54427,Fastway Couriers
54427,Fastway Couriers Adhoc
54432,Capital Transport HDS
54444,Fastway Couriers A5SAT
60006,Allied Express - Express
60006,Allied Express (Air)
60020,Allied Express Pallets
60027,TNT - Auth To Leave
60032,TNT (Satchel Only)
60037,TNT (Satchel Only) ATL
60046,Couriers Please - Parcel
60052,Couriers Please Metro Parcel
60103,TNT Road (B2B) Master
60144,TNT Road ATL (B2B) Master
60234,Couriers Please (Residential Parcel)
60236,Couriers Please (Residential Metro Parcel)
60310,Mainfreight (B2C)
60330,Allied Express - Adhoc Road (Business Delivery)
60334,Allied Express - Adhoc Air (Business Delivery)
60402,TNT Road (B2B) Pallets
60412,TNT International AU
60434,XPS_UPS
